2016-09-21,14.4,18.52,13.77,18.1,1876728
2016-09-22,18.8,22.24,18.05,21.2,856574
2016-09-23,21.85,21.94,19.03,20.14,560101
2016-09-26,20.25,22.975,19.18,21.5,676469
2016-09-27,21.99,23.79,21.6,22.01,633613
2016-09-28,22.93,22.93,21.51,22.54,280132
2016-09-29,23.4,23.4,21.5,21.66,136221
2016-09-30,21.54,22.0046,19.52,20.18,134455
2016-10-03,20.38,20.38,19.0,19.6,215278
2016-10-04,19.98,20.89,19.3401,20.14,184950
2016-10-05,20.44,20.6899,18.47,18.9,361859
2016-10-06,19.0,19.5,18.49,19.0,164898
2016-10-07,19.01,19.01,18.4,18.62,141317
2016-10-10,18.51,19.5,18.5,18.89,94206
2016-10-11,18.5,18.98,17.5,17.84,153331
2016-10-12,17.71,18.44,17.5101,18.33,108387
2016-10-13,18.27,19.2958,17.9569,18.66,35364
2016-10-14,18.76,19.26,18.35,18.97,48278
2016-10-17,19.28,21.0,19.24,20.53,147132
2016-10-18,21.01,21.7214,20.0,20.61,85316
2016-10-19,20.6,20.87,20.39,20.62,35899
2016-10-20,20.39,20.84,20.2,20.5,24547
2016-10-21,20.25,20.98,20.25,20.59,17895
2016-10-24,20.44,21.24,20.44,21.2,49174
2016-10-25,21.35,21.88,20.06,20.9,154102
2016-10-26,20.564,21.09,20.51,21.02,26702
2016-10-27,21.55,21.55,20.5,20.8999,35249
2016-10-28,20.97,21.2,20.58,20.91,43475
2016-10-31,20.95,21.2,20.5013,21.0,15635
2016-11-01,21.25,21.25,20.5,21.0,42389
2016-11-02,20.8727,21.1689,20.48,20.64,123486
2016-11-03,20.56,20.92,20.1101,20.13,33939
2016-11-04,20.3,20.7999,20.08,20.2,41527
2016-11-07,20.76,20.85,20.51,20.77,64278
2016-11-08,20.68,21.1,20.35,21.0,38275
2016-11-09,20.81,21.5001,20.67,21.5,69619
2016-11-10,21.75,21.8899,21.2612,21.8,31057
2016-11-11,21.85,22.1,21.6004,21.98,68991
2016-11-14,22.37,22.3799,21.35,21.825,49580
2016-11-15,21.81,22.21,19.0,21.52,120366
2016-11-16,21.3,21.9,20.25,21.31,40378
2016-11-17,20.85,21.6,20.7121,21.49,27606
2016-11-18,21.61,21.8,21.28,21.73,28914
2016-11-21,21.87,22.05,21.87,22.04,46981
2016-11-22,22.15,22.99,22.06,22.67,210078
2016-11-23,22.68,23.4,22.34,22.74,89851
2016-11-25,23.09,23.8,22.8615,23.29,75697
2016-11-28,23.36,24.5,23.19,23.79,151663
2016-11-29,27.3,29.79,25.0375,27.18,684926
2016-11-30,27.58,27.76,26.51,26.86,254709
2016-12-01,27.03,28.49,26.51,26.98,103519
2016-12-02,27.16,27.59,26.65,26.89,39524
2016-12-05,26.89,28.2819,26.8,27.34,87155
2016-12-06,27.59,28.0,26.6508,27.79,68316
2016-12-07,27.63,30.8989,27.62,29.06,106844
2016-12-08,29.66,29.96,28.0001,28.44,92488
2016-12-09,29.3736,29.3736,28.0,28.29,100624
2016-12-12,28.76,28.9,27.17,27.95,70580
2016-12-13,28.26,28.26,25.8283,26.93,91812
2016-12-14,26.68,27.04,25.6,26.63,96787
2016-12-15,26.895,27.23,26.05,26.76,98497
2016-12-16,27.03,28.0,26.49,27.33,686212
2016-12-19,27.29,28.82,26.92,27.76,105131
2016-12-20,28.01,28.01,26.02,26.31,141950
2016-12-21,26.34,26.53,25.04,25.91,84236
2016-12-22,25.82,26.8836,25.5,26.73,114390
2016-12-23,27.16,27.4,26.74,27.12,69904
2016-12-27,27.12,28.591,25.65,25.99,81540
2016-12-28,25.81,26.1206,25.01,25.87,61834
2016-12-29,26.0,26.07,25.41,25.5,31880
2016-12-30,25.33,27.38,25.02,27.02,144358
2017-01-03,27.37,27.765,25.09,25.46,111896
