2015-06-24,5.0,5.4999,4.5,4.96,1657038
2015-06-25,5.01,5.08,4.55,4.78,279339
2015-06-26,4.75,4.8022,4.51,4.69,101717
2015-06-29,4.75,4.78,4.4,4.41,72924
2015-06-30,4.41,4.59,3.8022,4.45,123549
2015-07-01,4.49,4.7,4.45,4.58,60640
2015-07-02,4.46,4.6,4.45,4.5,18056
2015-07-06,4.69,4.69,4.21,4.42,18001
2015-07-07,4.4,4.64,4.3,4.48,197771
2015-07-08,4.4,4.49,4.22,4.34,105211
2015-07-09,4.4,4.49,4.27,4.34,61054
2015-07-10,4.34,4.3927,4.15,4.29,26840
2015-07-13,4.28,4.29,3.9432,4.1,85976
2015-07-14,4.1,4.15,3.91,4.0,23556
2015-07-15,4.0,4.0799,3.82,3.94,48148
2015-07-16,3.9,3.92,3.57,3.69,93028
2015-07-17,3.61,3.86,3.58,3.85,95883
2015-07-20,3.6,3.71,3.53,3.53,36760
2015-07-21,3.61,3.618,3.13,3.39,29827
2015-07-22,3.4,3.7,3.02,3.55,284750
2015-07-23,3.8,4.45,3.56,4.41,281462
2015-07-24,4.69,4.69,3.96,4.1599,102179
2015-07-27,4.05,4.3,3.75,3.95,29711
2015-07-28,3.81,3.98,3.81,3.85,28730
2015-07-29,3.86,4.04,3.86,4.0,6102
2015-07-30,4.0,4.0,3.348,3.69,99967
2015-07-31,3.62,3.8399,3.5,3.67,4399
2015-08-03,3.52,3.89,3.52,3.85,17177
2015-08-04,3.85,3.93,3.71,3.87,6539
2015-08-05,3.91,3.91,3.54,3.59,14397
2015-08-06,3.73,3.73,3.25,3.4,24081
2015-08-07,3.4,3.6,3.38,3.445,23400
2015-08-10,3.4,3.8299,3.4,3.57,48909
2015-08-11,3.532,3.77,3.48,3.56,7481
2015-08-12,3.5,3.5799,3.06,3.23,48719
2015-08-13,3.25,3.25,3.03,3.07,11864
2015-08-14,3.0301,3.24,3.03,3.18,11138
2015-08-17,3.22,4.42,3.22,3.51,1247135
2015-08-18,3.26,3.63,3.25,3.29,140033
2015-08-19,3.201,3.25,2.79,2.95,135447
2015-08-20,2.93,3.198,2.7,2.91,105922
2015-08-21,2.9,2.98,2.51,2.7,89990
2015-08-24,2.5,2.86,2.5,2.77,26546
2015-08-25,2.63,3.39,2.63,2.9,156347
2015-08-26,3.02,3.1799,2.9001,3.08,23624
2015-08-27,2.8301,3.2,2.8301,2.86,46691
2015-08-28,2.7,3.45,2.63,3.23,161536
2015-08-31,3.2,3.5,3.13,3.29,127047
2015-09-01,3.25,3.25,3.01,3.12,48278
2015-09-02,3.0366,3.25,3.0,3.23,32088
2015-09-03,3.23,3.4,3.14,3.37,51008
2015-09-04,3.34,3.39,3.05,3.3,15982
2015-09-08,3.25,3.37,3.05,3.23,27218
2015-09-09,3.09,3.37,3.09,3.3,13483
2015-09-10,3.3,3.38,3.1801,3.34,14343
2015-09-11,3.34,3.4,3.23,3.38,18877
2015-09-14,3.26,3.39,3.0,3.36,34742
2015-09-15,3.21,3.34,3.06,3.19,10313
2015-09-16,3.19,3.34,3.18,3.3,8482
2015-09-17,3.09,3.34,3.05,3.15,47851
2015-09-18,3.26,3.26,2.5,2.5,99435
2015-09-21,2.9,3.39,2.86,2.985,161750
2015-09-22,2.91,3.1699,2.86,3.0,63291
2015-09-23,3.03,3.1348,2.73,2.96,22137
2015-09-24,2.91,2.95,2.8,2.9,30367
2015-09-25,2.89,3.05,2.66,2.68,63860
2015-09-28,2.6,2.7399,2.5,2.5,52470
2015-09-29,2.5001,2.56,2.01,2.08,71778
2015-09-30,2.15,2.27,2.0,2.05,45695
2015-10-01,2.1,2.34,2.1,2.2,19731
2015-10-02,2.1524,2.4,2.1524,2.4,18217
2015-10-05,2.39,2.485,2.39,2.45,12450
2015-10-06,2.5,2.53,2.38,2.43,14265
2015-10-07,2.3001,2.4799,2.3001,2.39,6656
2015-10-08,2.3701,2.4451,2.3701,2.42,1801
2015-10-09,2.47,2.52,2.4535,2.4535,2607
2015-10-12,2.46,2.4794,2.32,2.47,10133
2015-10-13,2.3849,2.404,2.2,2.25,12353
2015-10-14,2.23,2.3,2.15,2.27,4061
2015-10-15,2.34,2.43,2.31,2.43,3021
2015-10-16,2.4501,2.6,2.4501,2.59,10826
2015-10-19,2.4086,2.6,2.4086,2.45,7671
2015-10-20,2.3901,2.44,2.25,2.29,9286
2015-10-21,2.33,2.52,2.33,2.43,16739
2015-10-22,2.4,2.54,2.21,2.373,8896
2015-10-23,2.26,2.55,2.2326,2.5096,3913
2015-10-26,2.4101,2.5899,2.4101,2.4544,1214
2015-10-27,2.26,2.305,2.15,2.28,27945
2015-10-28,2.43,2.44,2.2901,2.4,6124
2015-10-29,2.34,2.35,2.3256,2.34,4231
2015-10-30,2.389,2.411,2.35,2.36,11672
2015-11-02,2.38,2.39,2.25,2.3,4162
2015-11-03,2.306,2.341,2.25,2.28,7536
2015-11-04,2.27,2.3299,2.15,2.15,14468
2015-11-05,2.2,2.275,2.2,2.242,8394
2015-11-06,2.32,2.34,2.25,2.3,33308
2015-11-09,2.34,2.485,2.062,2.35,26206
2015-11-10,2.26,2.32,2.17,2.24,32861
2015-11-11,2.3072,2.3072,2.18,2.24,26365
2015-11-12,2.2899,2.2899,2.22,2.22,34459
2015-11-13,2.18,2.235,2.16,2.22,7210
2015-11-16,2.2112,2.35,2.16,2.35,18835
2015-11-17,2.37,2.45,2.23,2.32,21750
2015-11-18,2.35,2.375,2.18,2.21,64839
2015-11-19,2.2499,2.45,2.22,2.38,79441
2015-11-20,2.39,2.4,2.26,2.32,48327
2015-11-23,2.38,2.4,2.22,2.236,67900
2015-11-24,2.28,2.4,2.17,2.18,62731
2015-11-25,2.29,2.31,2.11,2.27,70871
2015-11-27,2.32,2.38,2.15,2.25,57124
2015-11-30,2.26,2.27,2.1739,2.1799,44848
2015-12-01,2.17,2.21,2.13,2.1999,76114
2015-12-02,2.27,2.63,2.2,2.35,346950
2015-12-03,2.36,2.504,2.25,2.27,45842
2015-12-04,2.35,2.4209,2.26,2.26,31378
2015-12-07,2.27,2.32,2.11,2.2,88854
2015-12-08,2.18,2.26,2.13,2.2,72524
2015-12-09,2.201,2.208,2.16,2.1701,59138
2015-12-10,2.18,2.21,2.13,2.16,67000
2015-12-11,2.14,2.16,1.91,1.99,241295
2015-12-14,1.9316,1.962,1.61,1.61,237681
